,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
186,0.0037918806076049803,0.000256823339160446,0.0027106285095214845,0.0001928938270552836,4,3,poly,1000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
187,0.0036287784576416017,0.00030730092058580934,0.002509474754333496,0.00028357053673409545,4,3,poly,2000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
188,0.0035648345947265625,0.0003846248147746942,0.0024913787841796876,0.00018723866395684775,4,3,poly,3000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
192,0.0042609691619873045,0.0005829048520283501,0.0029296636581420898,0.00031483534832879557,4,4,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
193,0.004593276977539062,0.0008966334028728554,0.0028518199920654296,0.0002827893450412649,4,4,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
166,0.003085207939147949,0.0005027093258492253,0.0021318435668945313,0.00026494488564993954,4,1,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
138,0.0035058736801147463,0.00022915853350300293,0.002500319480895996,0.00020259579864412994,3,4,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
165,0.003164505958557129,0.00037235429404180884,0.0023280620574951173,0.0003378704409196603,4,1,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
311,0.004389286041259766,0.0008033746795095323,0.003184652328491211,0.0007354465659936458,6,5,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
91,0.0019976615905761717,0.00025523781364140654,0.0016268491744995117,0.00030939738481993524,2,5,linear,2000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
229,0.0027406692504882814,0.00026521826338696454,0.0018680334091186524,0.00014117168339547508,5,2,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
228,0.002933764457702637,0.0007497723280153445,0.002110743522644043,0.0005674396387566126,5,2,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
224,0.0028844356536865236,0.0002572877567859253,0.0021761655807495117,0.00023072940593102926,5,1,poly,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
147,0.003054213523864746,0.00031014956581653156,0.0022582769393920898,0.00035774423692815164,3,5,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
148,0.0032711267471313477,0.000566742501533602,0.0022782087326049805,0.0004173664320876316,3,5,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
149,0.0036230564117431642,0.0005102000033539452,0.0028524160385131835,0.00040021699225911873,3,5,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
223,0.003079080581665039,0.0002546770075768794,0.0021933317184448242,0.00016103960820190724,5,1,poly,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
222,0.0031289577484130858,0.0004216834506969272,0.002311229705810547,0.00039946550183067293,5,1,poly,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
221,0.002957725524902344,0.00019258189555420059,0.0021224260330200196,0.0001767117415036322,5,1,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
220,0.003108382225036621,0.0001438013215464354,0.002199268341064453,0.00015274282874262765,5,1,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
219,0.0033215761184692385,0.00021983912668588774,0.002414846420288086,0.00017305238393803795,5,1,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
156,0.0038049936294555662,0.0006641153783391141,0.002755570411682129,0.00040801950130598254,3,6,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
157,0.0032706975936889647,0.00017304216312992153,0.0023236989974975584,0.00017802618235160869,3,6,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
